,ConstructName,SubjectName,CorrectAnswer,QuestionText,AnswerAText,AnswerBText,AnswerCText,AnswerDText,MisconceptionAtext,MisconceptionBtext,MisconceptionCtext,MisconceptionDtext
1103,"Calculate the distance between two coordinates in 2D, where all the values are integers but at least one is negative",Distance Between Two Co-ordinates,A,"Amy is trying to work out the distance between these two points: \( (2,-5) \) and \( (-7,1) \) She labels them like this: \( \begin{array}{cccc}x_{1} & y_{1} & x_{2} & y_{2} \\ (2, & -5) & (-7, & 1)\end{array} \) And then decides to use this formula: \( \sqrt{\left(x_{2}-x_{1}\right)^{2}+\left(y_{2}-y_{1}\right)^{2}} \) What does the first bracket equal?",\( (-9)^{2} \),\( (-5)^{2} \),\( (9)^{2} \),\( (5)^{2} \),nan,"When subtracting a negative number from a positive number, uses a method which assumes one of the negative signs can be ignored ",Believes subtraction is commutative ,nan
1104,Calculate the mean as an average from a list of data,Pictogram,C,"What is the mean of this set of data?
\[
5, \quad 2, \quad 0, \quad 2, \quad 3
\]",\( 2 \),\( 3 \),\( 2.4 \),\( 2.5 \),"When asked for the mean of a list of data, gives the mode","When asked for the mean of a list of data, does not count any zeros in the data when working out what to divide by",nan,nan
1105,"For a given algebraic input, find the output of a function machine",Function Machines,D,Which of the following pairs of function machines are correct?,"\(a \Rightarrow \times2  \Rightarrow -5\Rightarrow 2a-5\) 

\(a \Rightarrow \times2  \Rightarrow -5\Rightarrow 2(a-5)\) ","\(a \Rightarrow -5  \Rightarrow \times2\Rightarrow 2a-5\) 

\(a \Rightarrow -5  \Rightarrow \times2\Rightarrow 2(a-5)\) ","\(a \Rightarrow -5 \Rightarrow \times2 \Rightarrow 2a-5\) 

\(a \Rightarrow \times2  \Rightarrow -5\Rightarrow 2(a-5)\) ","\(a \Rightarrow \times2  \Rightarrow -5\Rightarrow 2a-5\) 

\(a \Rightarrow -5  \Rightarrow \times2\Rightarrow 2(a-5)\) ","Does not follow the arrows through a function machine, changes the order of the operations asked.","Does not follow the arrows through a function machine, changes the order of the operations asked.","Does not follow the arrows through a function machine, changes the order of the operations asked.",nan
1106,Recall the formulae for the trigonometric ratios,Right-angled Triangles (SOHCAHTOA),D,"\(
\bigstar=\frac{\text { Hypotenuse }}{\text { Opposite }}
\)

What should replace the star?",\( \sin (\theta) \),\( \cos (\theta) \),\( \tan (\theta) \),None of these,Confuses order of sides in a trigonometric ratio,Uses cos when sin is required,Uses tan when sin is required,nan
1107,Recognise whether you need to add or subtract linear equations in order to eliminate a variable,Simultaneous Equations,A,"Tom and Katie are discussing this pair of simultaneous equations: \( \begin{array}{l}3 x-2 y=15 \\ x+2 y=20\end{array} \) Tom says if you add the two equations together you will eliminate a variable

Katie says if you subtract the two equations together you will eliminate a variable

Who is correct?","Only
Tom","Only
Katie",Both Tom and Katie,Neither is correct,nan,Subtracts simultaneous equations when addition is required,When solving simultaneous equations thinks that identical terms in given equations can be eliminated by either adding or subtracting.,nan
1108,"Calculate the whole amount, given a fraction of the amount",Fractions of an Amount,D,"Here is a number card 
\( \frac{1}{6} \) of \( A \) is \( 12 \) 
What is \( \frac{1}{8} \) of \( A \) ? ![A pink rounded rectangle with a capital A typed inside]()",\( 0.25 \),\( 4 \),\( 72 \),\( 9 \),Confuses the part and the whole in fraction of an amount problems,Confuses the part and the whole in fraction of an amount problems,"In a worded problem, does not complete all calculations",nan
1109,Count a number of objects,Quadratic Sequences,C,"\[
1,3,6,10, \ldots \text { ? }
\]

Which pattern matches the sequence above?",![The square numbers represented by green circles arranged into squares.](),"![The cube numbers represented by small, pale, blue cubes arranged into larger cubes]()",![The triangle numbers represented by dark blue circles arranged into triangles.](),"![A sequence represented using red circles arranged in a pattern so that the first term has one red dot and then an additional two dots are added underneath this one red dot for the second term. For the third term another two red dots are added underneath and for the fourth term, two more added underneath the previous pattern.]()","When given a linear sequence, cannot match it to a visual pattern","When given a linear sequence, cannot match it to a visual pattern",nan,Uses only the first two terms of a sequence to work out a term-to-term rule
1110,Raise a positive integer to a positive integer power,"Squares, Cubes, etc",C,"Tom and Katie are arguing about powers.
\( m \) and \( n \) are integers

Tom says there is no value of \( m \) that means \( 2^{m} \) ends in \( 0 \).
Katie says there is no value of \( n \) that means \( 5^{n} \) ends in \( 0 \).
Who is correct?","Only
Tom","Only
Katie",Both Tom and Katie,Neither is correct,Assumes a fact without considering enough examples,Assumes a fact without considering enough examples,nan,Assumes a fact without considering enough examples
1111,Use direct proportion to solve unitary missing amounts in problems (e.g. recipes),Direct Proportion,C,"Eight bottles of water cost \( £ 3.60 \).

How much does one bottle of water cost?",\( £ 28.80 \),\( 30 p \),\( 45 p \),\( £ 3.53 \),Multiplies up without finding unit price in proportion question,nan,nan,Subtracts rather than dividing to find unit price
1112,Calculate percentage of an amount mentally where the percent is greater than 100,Percentages of an Amount,B,What is \( 120 \% \) of \( 50 \) ?,\( 10 \),\( 60 \),\( 70 \),You cannot have percentages greater than \( 100 \),Found the percentage but forgot to add to 100%,nan,Added the values together instead of finding the percentage,Does not understand that you can have percentages greater than 100%
1113,Carry out division problems involving two negative integers,Multiplying and Dividing Negative Numbers,C,\( (-3) \div(-5)= \),\( 8 \),\( -8 \),\( 0.6 \),\( -0.6 \),nan,nan,nan,Believes dividing a negative by a negative gives a negative answer
1114,Calculate a positive fractional gradient between two coordinates where all values are positive,Gradient Between Two Co-ordinates,A,"Max is working out the gradient between these two points. He has worked out the lengths of the triangle.
What is the gradient? ![A coordinate grid with a right angled triangle drawn on it. The hypotenuse of the triangle is between the coordinates (1,2) and (7,5). The base of the triangle is labelled with 6 and the perpendicular height of the triangle is labelled with 3.]()",\( \frac{1}{2} \),\( 3 \),\( 2 \),\( 18 \),nan,Believes gradient is the difference between the change in x and the change in y,Believes gradient = change in x/change in y,Believes gradient = change in y multiplied by change in x
1115,Solve quadratic equations using the quadratic formula where the coefficient of x² is not 1 ,Quadratic Equations,A,"One of these quadratic equations will give no real solutions.
Which one?",\( \frac{-6 \pm \sqrt{-12}}{3} \),\( \frac{-6 \pm \sqrt{12}}{-3} \),\( \frac{-6 \pm \sqrt{1200}}{3} \),\( \frac{-6 \pm \sqrt{0}}{3} \),nan,Believes the discriminant must be a perfect square for an equation to have real solutions,Believes the discriminant must be a perfect square for an equation to have real solutions,Believes that a discriminant of 0 means there are no real solutions
1116,"For a given algebraic input, find the output of a function machine",Function Machines,B,Which of the following pairs of function machines are correct?,"![2 function machines both with 4 rectangles in a row and joined by arrows pointing from left to right. The first function machine has ""p"" written inside the first rectangle on the left and ""input"" written above it; it has ""✕ 2"" written inside the next rectangle, ""−3"" written inside the next rectangle and the final rectangle on the right has ""output"" written above it and ""2p − 3"" written inside it.
The first function machine has ""p"" written inside the first rectangle on the left and ""input"" written above it; it has ""✕ 2"" written inside the next rectangle, ""−3"" written inside the next rectangle and the final rectangle on the right has ""output"" written above it and ""2(p − 3)"" written inside it.
]()","![2 function machines both with 4 rectangles in a row and joined by arrows pointing from left to right. The first function machine has ""p"" written inside the first rectangle on the left and ""input"" written above it; it has ""✕ 2"" written inside the next rectangle, ""−3"" written inside the next rectangle and the final rectangle on the right has ""output"" written above it and ""2p − 3"" written inside it.
 The second function machine has ""p"" written inside the first rectangle on the left and ""input"" written above it; it has  ""−3"" written inside the next rectangle, ""✕ 2""  written inside the next rectangle and the final rectangle on the right has ""output"" written above it and ""2(p − 3)"" written inside it.]()","![2 function machines both with 4 rectangles in a row and joined by arrows pointing from left to right. The first function machine has ""p"" written inside the first rectangle on the left and ""input"" written above it; it has ""−3"" written inside the next rectangle, ""✕ 2"" written inside the next rectangle and the final rectangle on the right has ""output"" written above it and ""2p − 3"" written inside it.
 The second function machine has ""p"" written inside the first rectangle on the left and ""input"" written above it; it has ""✕ 2"" written inside the next rectangle, ""−3"" written inside the next rectangle and the final rectangle on the right has ""output"" written above it and ""2(p − 3)"" written inside it.]()","![2 function machines both with 4 rectangles in a row and joined by arrows pointing from left to right. The first function machine has ""p"" written inside the first rectangle on the left and ""input"" written above it; it has ""−3"" written inside the next rectangle, ""✕ 2"" written inside the next rectangle and the final rectangle on the right has ""output"" written above it and ""2p − 3"" written inside it.
 The second function machine has ""p"" written inside the first rectangle on the left and ""input"" written above it; it has  ""−3"" written inside the next rectangle, ""✕ 2""  written inside the next rectangle and the final rectangle on the right has ""output"" written above it and ""2(p − 3)"" written inside it.]()","Does not follow the arrows through a function machine, changes the order of the operations asked.",nan,"Does not follow the arrows through a function machine, changes the order of the operations asked.","Does not follow the arrows through a function machine, changes the order of the operations asked."
1117,Find the whole amount given a percentage of the amount mentally,Percentages of an Amount,A,What should replace the star? ![A number line from 0% to 100% with 20% labelled with 90 and a star above the 100%](),\( 450 \),\( 1800 \),\( 70 \),\( 18 \),nan,nan,nan,Identifies the wrong part of a fraction model as the whole
1118,Identify whether two shapes are similar or not,Length Scale Factors in Similar Shapes,D,Tom and Katie are discussing similarity. Who is correct? Tom says these two rectangles are similar ![Two rectangles of different sizes. One rectangle has width 2cm and height 3cm. The other rectangle has width 4cm and height 9cm. ]() Katie says these two rectangles are similar ![Two rectangles of different sizes. One rectangle has width 4cm and height 6cm. The other rectangle has width 7cm and height 9cm. ](),Only Tom,Only Katie,Both Tom and Katie,Neither is correct,Does not understand that similar shapes sides must all have the same scale factor,Thinks adding the same value to each side makes shapes similar,Does not understand that similar shapes sides must all have the same scale factor,nan
1119,Convert between cm and m,Length Units,B,How should you write \( 5 \) kilometres and \( 7 \) centimetres in metres?,\( 5070 \mathrm{~m} \),\( 5000.07 \mathrm{~m} \),\( 5007 \mathrm{~m} \),\( 5700 \mathrm{~m} \),Incorrectly converted cm to m,nan,Has forgotten to convert cm to m,Incorrectly converted cm to m
1120,Multiply a single term over a bracket where the term on the outside contains a letter and the inside contains a linear expression,Expanding Single Brackets,D,Multiply out the brackets: \( m(2 m-7) \),\( 3 m-7 \),\( 2 m^{2}-7 \),\( 3 m-7 m \),\( 2 m^{2}-7 m \),Adds instead of multiplying when expanding bracket,Only multiplies the first term in the expansion of a bracket,Believes you add the terms together when multiplying like terms.,nan
1121,Add decimals with the same number of decimals places,Adding and Subtracting with Decimals,D,\( 0.8+0.2= \),\( 10 \),\( 0.10 \),\( 0.1 \),\( 1 \),"When adding decimals, just adds the digits and ignores place value","When adding, just writes the digit to the right of the number without considering place value","When two digits sum to 10 or more during addition of decimals, does not carry across decimal point to preceding digit.",nan
1122,"Identify and count the faces, vertices and edges of a 3D shape",Names and Properties of 3D Shapes,C,How many faces does this shape have? ![\( \theta \)](),\( 1 \),\( 2 \),\( 3 \),\( 4 \),nan,Confuses the terms faces and edges,nan,nan
1123,Interpret a bar chart,Block Graphs and Bar Charts,A,"![A bar chart with blue vertical bars. The x-axis is titled ""Fruits"" and the y-axis is titled ""Number of Children"" and its scale is from 0 to 50 in steps of 10. The bars represent the following numbers of children: Banana, 30; Apple, 20; Kiwi Fruits, 30; Orange, 35; Pineapple, 10.]() \begin{tabular}{|c|c|}
\hline
Type of Fruit & Number of Children\\
\hline Banana & \(  \) \\
\hline Apple & \( 20 \) \\
\hline Kiwi & \( 30 \) \\
\hline Orange & \(  \) \\
\hline Pineapple & \( 10 \) \\
\hline
\end{tabular} Using the bar chart, what two numbers are missing from the table?",\( 30 \) and \( 35 \),\( 30 \) and \( 40 \),Banana and orange,\( 35 \) and \( 40 \),nan,"When reading graph, chooses nearest marked value on axis instead of reading accurately",nan,nan
1124,For a given input find the output of a function machine,Function Machines,D,Here is a function machine Input \( \longrightarrow \times 5 \longrightarrow-1 \quad \longrightarrow \) Output What is the output when the input is \( 9 ? \),\( 2 \),\( 40 \),\( 36 \),\( 44 \),"When using a function machine, confuses the input and the output.","Does not follow the arrows through a function machine, changes the order of the operations asked.","In a function machine, confuses the first operation and the input",nan
1125,Multiply 3 digit integers by 2 digit integers using long multiplication,Written Multiplication,D,"What is a correct way to set up this problem to solve it using long multiplication?
\[
128 \times 26
\]",![128 multiplied by 26 set out to perform long multiplication. 26 is written under 128. The 2 of 26 is under the 1 of 128 and the 6 of 26 is under the 2 of 128.](),"![128 multiplied by 26 set out to perform long multiplication. 128 is written in 3 columns with 100 in the first column, 20 in the second column and 8 in the third column. 26 is written underneath this, with 20 under 100 and 6 under 20.]()","![128 multiplied by 26 set out to perform long multiplication. 128 is written in 3 columns with 100 in the first column, 20 in the second column and 8 in the third column. 26 is written underneath this, with 20 under 20 and 6 under 8.]()",![128 multiplied by 26 set out to perform long multiplication. 26 is written under 128. The 2 of 26 is under the 2 of 128 and the 6 of 26 is under the 8 of 128.](),Hasn't lined up the place value columns when writing out the calculation,nan,Has partitioned the digits when doing long multiplication,nan
1126,Find missing angles on parallel lines using more than one angle fact,Angle Facts with Parallel Lines,C,Jane is trying to find the angles \( x \) and \( y \). Here are her workings. Which step is incorrect? ![A diagram showing parallel lines and two transversals. Some angles are given and one is labelled x](),"\[
x=103\degree\]
as alternate angles","\[
y=65\degree
\]
as alternate angles",Both steps are correct,Both steps are incorrect,Does not know the meaning of alternate,Does not know the meaning of alternate,nan,Does not know the meaning of alternate
1127,Simplify an algebraic fraction by factorising both the numerator and denominator,Multiplying and Dividing Algebraic Fractions,B,"Write the following as a single fraction, giving your answer as simply as possible: \( \frac{4 t^{2}-4 t-48}{8} \times \frac{2}{t-4} \)",\( \frac{4 t^{2}-4 t-48}{4(t-4)} \),\( t+3 \),\( \frac{t^{2}-t-12}{t-4} \),\( t-3 \),nan,nan,"When simplifying an algebraic fraction, only looks for number factors",nan
1128,Identify where negative non-integers lie on a number line,Ordering Negative Numbers,B,"Here is a number line: ![A horizontal number-line with 13 vertical, equally spaced, dashes representing the position of numbers. The 1st dash is labelled with ""-6"", the 3rd dash is labelled ""-4"", the 5th dash is labelled ""-2"", the 7th dash is labelled ""0"", the 9th dash is labelled ""2"", the 11th dash is labelled ""4"" and the 13th dash is labelled ""6""    A red arrow, labelled with a question mark is pointing halfway between the 6th and 7th dashes. ]() Which of the following numbers could be indicated by the arrow?",\( -1.5 \),\( -0.5 \),\( -1 \),\( -0.25 \),Counts on in the wrong direction on a number line,nan,nan,Believes a quarter of 2 is 0.25
1129,Carry out addition problems involving one negative integer,Adding and Subtracting Negative Numbers,A,"![Diagram of a thermometer showing positive and negative temperatures, with an arrow labelled +9 going from -3 up to 6]() Which of the following calculations is represented on the thermometer?",\( -3+9=6 \),\( 3+6=9 \),\( 6+9=-3 \),\( -3+6=9 \),nan,Believes a negative number can be replaced with its positive equivalent when answering an addition problem from a numberline,Believes we move down a number line when we add,Believes the number of jumps between two numbers on a numberline represents the sum of those 2 numbers 
1130,Use facts about interior angles in triangles with algebra to solve equations,Linear Equations,A,"Find the value of \( x \). ![A triangle with the angles labelled: 4x, 2x - 12 and 4x + 42]()",\( x=15^{\circ} \),\( x=12.6^{\circ} \),\( x=33^{\circ} \),\( x=21^{\circ} \),nan,nan,Believes angles in a triangle sum to 360 degrees,"When solving an equation, uses the same operation rather than the inverse."
1131,Understand the non-commutativity of division,Mental Multiplication and Division,D,"Miran says the following:

""It doesn't matter if you do \( \mathbf{7} \div \mathbf{1 4 0} \) or \( \mathbf{1 4 0} \div \mathbf{7} \), you get the same answer""

What do you think?",Miran is correct because division is commutative,Miran is incorrect because division is commutative,Miran is correct because division is not commutative,Miran is incorrect because division is not commutative,Believes division is commutative ,Does not understand the meaning of the word commutative ,Does not understand the meaning of the word commutative ,nan
1132,Identify a unit of area,Area Units,B,"Tom and Katie are discussing units of area
Tom says centimetres is a unit of area
Katie says \( \mathrm{mm}^{2} \) is a unit of area
Who is correct?","Only
Tom",Only Katie,Both Tom and Katie,Neither is correct,Does not know units of area should be squared,nan,Does not know units of area should be squared,Does not know units of area should be squared
1133,"Solve comparison, sum and difference problems using information presented in pictograms",Pictogram,D,"This pictogram shows the different types of music Bob has in his music collection.

How many more Pop CDs does Bob have than Rock CDs? ![A pictogram showing the number of CDs Bob has in his musical collection. Pop has 3 and a half symbols, rock has 2 symbols, blues has 2 and a quarter symbols, jazz has 3 and a quarter symbols and classical has 1 and three-quarter symbols. Each symbol represents 4 CDs.]()",\( 4.5 \),\( 5 \),\( 1.5 \),\( 6 \),"When counting partial symbols on pictogram, uses the fraction rather than the amount it represents",nan,"When interpreting a pictogram, thinks each symbol stands for 1",nan
1134,Carry out addition problems involving one negative integer,Adding and Subtracting Negative Numbers,B,"What number belongs in the box?
\(
(-11)+7=
\square\)",\( -18 \),\( -4 \),\( -5 \),\( 18 \),Counts on in the wrong direction on a number line,nan,Counts the starting number when counting on,nan
1135,"Given a positive y value, find an x value in a table of values for lines in the form y = c - x ",Plotting Lines from Tables of Values,D,"This is a part of the table of values for the equation
\[
y=6-x
\] \begin{tabular}{|l|l|}
\hline\( x \) & \( \bigstar \) \\
\hline\( y \) & \( 8 \) \\
\hline
\end{tabular} What should replace the star?",\( -8 \),\( 14 \),\( 2 \),\( -2 \),nan,Believes subtraction is commutative ,nan,nan
1136,Calculate unit fractions of an amount,Time,A,\( \frac{1}{8} \) th of an hour \( = _______ \) minutes,\( 7.5 \),\( 8 \),\( 0.8 \),\( 12.5 \),nan,nan,nan,Answers as if there are 100 minutes in an hour
1137,Label angles using correct 3-letter notation (e.g. angle ADB),"Types, Naming and Estimating",C,Which of the following correctly describes the marked angle? ![An image of square ABCE with various triangles attached to it.  The marked angle is between the lines CE and BC.](),BCA,CDB,ECB,None of these options,Chooses the wrong 3 letters to describe an angle,Gives 3-letter angle notation in the wrong order,nan,Thinks 3-letter angle notation has to use the nearest vertex on each side of the angle
1138,Simplify an algebraic fraction by factorising the denominator,Simplifying Algebraic Fractions,C,Simplify the following: \( \frac{9 y^{3}}{6 y^{2}+3 y} \),\( \frac{9 y^{2}}{6 y+3} \),\( \frac{3 y}{2+y} \),\( \frac{3 y^{2}}{2 y+1} \),\( \frac{3 y^{3}}{2 y^{2}+3 y} \),Does not fully simplify fraction,Thinks you can divide terms by different factors when simplifying an algebraic fraction,nan,Thinks you can divide terms by different factors when simplifying an algebraic fraction
1139,Find the area of rectilinear shapes by counting squares,Area of Simple Shapes,A,"What can you say about the areas of the two squares? ![Two squares drawn on a grid. The blue square is three grid squares wide, and the three grid squares long. The red square is drawn diagonally, so that each side goes through two grid squares from corner to corner.]()",The blue square has a larger area,The red square has a larger area,The areas are the same,It is impossible to say without measuring,nan,Counts half-squares as full squares when calculating area on a square grid,Thinks the diagonal of a square is the same length as the side of the square,Does not know how to find area by counting squares on a grid
1140,Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,B,"What is the area of this rectangle? ![A rectangle, 5cm by 12cm]()",\( 17 \mathrm{~cm}^{2} \),\( 60 \mathrm{~cm}^{2} \),\( 34 \mathrm{~cm}^{2} \),Not enough information,Adds when calculating area instead of multiplying,nan,Calculates perimeter when asked for area,Does not recall rectangle side length property
1141,Convert percentages containing 1 decimal place to fractions,Converting between Fractions and Percentages,C,How do you write \( 0.5 \% \) as a fraction?,\( \frac{1}{2} \),\( \frac{1}{20} \),\( \frac{1}{200} \),\( \frac{1}{2000} \),"Assumes that converting a decimal percentage to a fraction, they can just convert the decimal to a fraction, instead of writing the decimal over 100.",Assumes decimal point can be ignored when given a decimal percentage to convert to a fraction,nan,nan
1142,Complete the square for expressions that end up in the form (x + a)² + b,Completing the Square,D,"When Aaron completes the square, what should replace the star? \( p^{2}-p-1 \equiv(p \bigstar )^{2} \triangle \)",\(\bigstar =-2 \),\(\bigstar =-1 \),"\(\bigstar =+0 \)
(just \( \mathrm{p} \) inside brackets)",\(\bigstar =-0.5 \),"When completing the square, believes the constant in the bracket is double the coefficient of x","When completing the square, believes the constant in the bracket is the coefficient of x",nan,nan
1143,Given the number of sides of a polygon identify the name,Properties of Polygons,C,"If you continue to join up the intersections of the curves with straight lines, which of the following regular polygons could you have constructed? ![A circle has been intersected by curves at 5 equally spaced intervals about its circumference]()",An octagon,A hexagon,A pentagon,A circle,Confuses octagon and pentagon,Confuses pentagon and hexagon,nan,Does not know the meaning of the word regular 
1144,Substitute positive integer values into expressions involving powers or roots,Substitution into Formula,A,"When \( h=5 \)
\(
h^{2}=
\)",\( 25 \),\( 10 \),\( 7 \),\( 52 \),nan,Multiplies by the index,Believes squaring is the same as adding two,Writes the index as a digit on the end of a number
1145,Add surds in the form va + vb,Simplifying Surds,D,"\(
\sqrt{3}+\sqrt{5}
\)

Simplify, if possible.",\( 3 \sqrt{5} \),\( \sqrt{8} \),\( \sqrt{15} \),Cannot be simplified,"When adding or subtracting surds, simplifies the surds correctly but puts the digits in the answer the wrong way round","When adding or subtracting surds, just adds or subtracts the numbers under the surd rather than first trying to simplifying to find like surds","When adding surds, just multiplies the numbers under the surd rather than first trying to simplifying to find like surds",nan
1146,Use area to write algebraic expressions,Trial and Improvement and Iterative Methods,D,"The area of the rectangle on the right is \( 8 \mathrm{~cm}^{2} \).

Which of the following equations can we write from the information given? ![A rectangle with the short side labelled \(x\) and the opposite side labelled \(x^2 + 9\).]()",\( x^{3}+9=8 \),\( x^{2}+x+9=8 \),\( 2 x^{2}+2 x+18=8 \),\( x^{3}+9 x=8 \),Only multiplies the first term in the expansion of a bracket,Adds when calculating area instead of multiplying,Calculates perimeter when asked for area,nan
1147,"Know the exact value of tan(30), tan(45) and tan(60)",Exact Values of Trigonometric Ratios,A,What is the exact value of \( \tan (30) \) ?,\( \frac{\sqrt{3}}{3} \),\( \sqrt{3} \),\( \frac{\sqrt{3}}{2} \),\( \frac{1}{2} \),nan,Misremembers the exact values of trigonometric functions at standard angles,Misremembers the exact values of trigonometric functions at standard angles,Misremembers the exact values of trigonometric functions at standard angles
1148,"Calculate the distance between two coordinates in 2D, where all the values are integers but at least one is negative",Distance Between Two Co-ordinates,D,"Amy is trying to work out the distance between these two points: \( (2,-5) \) and \( (-7,1) \) She labels them like this: \( \begin{array}{cccc}x_{1} & y_{1} & x_{2} & y_{2} \\ (2, & -5) & (-7, & 1)\end{array} \) And then decides to use this formula: \( \sqrt{\left(x_{2}-x_{1}\right)^{2}+\left(y_{2}-y_{1}\right)^{2}} \) \( \sqrt{(-9)^{2}+(6)^{2}} \) What is the distance between the points?",\( \sqrt{6} \),\( \sqrt{30} \),\( -\sqrt{45} \),\( \sqrt{117} \),nan,nan,Believes the square of a negative will also be negative,nan
1149,Recognise and name a formula,Writing Expressions,B,"Which of the following is the most appropriate word to describe: \( V=\frac{1}{3} \pi r^{2} h \) ![A cone, with the dimensions labelled h and r]()",Equation,Formula,Variable,Expression,Confuses a formula with an equation,nan,Confuses a variable with a formula,Confuses a formula with an expression
1150,Rearrange formulae to change the subject where the subject appears once and two steps are needed,Rearranging Formula and Equations,C,"Rearrange the following equation to make \( v \) the subject
\(F=\frac{v^{2}}{r}\)",\( v=r F^{2} \),\( v=\sqrt{\frac{F}{r}} \),\( v=\sqrt{r F} \),\( v=r \sqrt{F} \),"When solving an equation, uses the same operation rather than the inverse.","When solving an equation, uses the same operation rather than the inverse.",nan,Does not reverse the order of operations when solving an equation
1151,Convert between cm and mm,Length Units,B,How many millimetres are there in \( 1 \) centimetre?,\( 0.1 \),\( 10 \),\( 100 \),\( 1000 \),Thinks there are 10 centimetres in 1 mm.,nan,Thinks there are 100mm in a centimetre,Thinks there are 1000mm in a centimetre
1152,"Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division",BIDMAS,A,"Tom and Katie are discussing the order of operations
Tom says: \( 6+4-2 \equiv 4-2+6 \)
Katie says: \( 6+4 \times 2 \equiv 6 \times 4+2 \)
Who is correct?","Only
Tom","Only
Katie",Both Tom and Katie,Neither is correct,nan,nan,nan,"Applies BIDMAS in strict order (does not realize addition and subtraction, and multiplication and division, are of equal priority)"
1153,Find missing angles in a right-angled triangle,Angles in Triangles,D,"Tom and Katie are arguing about triangles.
Tom says a triangle can have two right angles.
Katie says only a scalene triangle can have a right angle.
Who is correct?","Only
Tom",Only Katie,Both Tom and Katie,Neither is correct,Does not consider that all three angles in a triangle sum to 180 degrees,Does not know the properties of an isosceles triangle,nan,nan
1154,Multiply a single term over a bracket where the term on the outside is a number and the inside contains a linear expression,Writing Expressions,A,"Tom and Katie are discussing calculations involving brackets
Tom says \( a(b+c) \equiv(b+c) \times a \)
Katie says \( a(b+c) \equiv a b+c \)
Who is correct?","Only
Tom",Only Katie,Both Tom and Katie,Neither is correct,nan,nan,Only multiplies the first term in the expansion of a bracket,Does not know the meaning of the identity symbol
1155,Read a decimal on a scale where the required measurement is marked by a dash between two numbers,Ordering Negative Numbers,C,"What is the value of A? ![A horizontal number-line with 11 vertical, equally spaced, dashes representing the position of numbers. ""-4"" below the 2nd dash and ""5"" below the last dash are the only numbers marked on the line. An arrow, labelled ""A"" is pointing halfway between the 5th and 6th dashes. ]()",\( 0.5 \),\( -7.5 \),\( -0.5 \),\( 3 \),nan,When placing a negative number on a number line student assumes numbers with a greater absolute value are placed to the right.,nan,"When reading integers on a number line, assumes each dash is 2"
1156,Express one quantity as a percentage of another mentally,Percentages of an Amount,D,What is \( 8 \) out of \( 20 \) as a percentage?,\( 82 \% \),\( 32 \% \),\( 16 \% \),\( 40 \% \),Converts a fraction to a percentage by writing the numerator followed by the denominator,nan,Thinks they double the numerator to turn a fraction into a percentage,nan
1157,Multiply a single term over a bracket where the term on the outside contains a letter and the inside contains a linear expression,Expanding Single Brackets,A,"![A blue, rectangle with each side labelled. The left side is labelled x and the right side 8. The top side is labelled 2x + 4 and the base 3x - 4.]() Which of the following statements is incorrect?",Area \( =3 x^{2}-4 \),Perimeter \( =6 x+8 \),\( 2 x+4=3 x-4 \),\( x=8 \),nan,nan,Does not know the properties of a rectangle,Does not know the properties of a rectangle
1158,Solve quadratic equations using factorisation in the form (x + a)(x + b) ,Quadratic Equations,B,"One of these equations has exactly one solution.
Which is it?",\( t^{2}-9 t=0 \),\( t^{2}+6 t+9=0 \),\( t^{2}-6 t-9=0 \),\( t^{2}-9=0 \),nan,nan,nan,Factorises difference of two squares with the same sign in both brackets
1159,"Given a description of an ascending sequence using quadratics in words, write some terms of that sequence",Quadratic Sequences,C,![Square and then subtract \( 4 \)]() The first three terms of which sequence below is produced by this term-to-term rule?,"\( -3,9,5 \)","\( -3,-13,-173 \)","\( -3,5,21 \)","\( -3,0,5 \)","When given a term to term sequence with multiple steps, applies one step per term","When given a term to term sequence with multiple steps, applies one step per term",nan,Describes term to term rules using position to term rules
1160,Calculate the probability of two dependent events occurring without drawing a tree diagram,Tree Diagrams with Dependent Events,C,"There are \( 5 \) red balls and \( 4 \) yellow balls in a cup ![A cup with 5 red and 4 yellow balls in it. All of the balls are the same size.]() Kate picks out two balls at the same time.

What is the probability at least one ball is red?",\( \frac{67}{72} \),\( \frac{20}{72} \),\( \frac{60}{72} \),\( \frac{40}{72} \),nan,Does not work out all possibilites when given an 'at least' question in probability,nan,Thinks they can just give the probability of the first event for a combined probability
1161,Calculate the area of a parallelogram where the dimensions are given in the same units,Area of Simple Shapes,A,"What is the area of the parallelogram? ![A parallelogram with length 7cm, perpendicular height (marked by a right angle) 3cm, and slanted height 4cm. Not to scale]()",\( 21 \mathrm{~cm}^{2} \),\( 22 \mathrm{~cm}^{2} \),\( 28 \mathrm{~cm}^{2} \),\( 84 \mathrm{~cm}^{2} \),nan,Calculates perimeter when asked for area,Has used slant height and base to find area of a parallelogram rather than perpendicular height and base,Multiplies all given dimensions when calculating an area
1162,Understand the non-commutativity of division,Mental Multiplication and Division,C,"Jacob makes a conjecture: If you have two different numbers, \( P \) and \( Q \), the order you divide does not matter. \( P \div Q=Q \div P \) Is Jacob's conjecture...",Always true,Sometimes true,Never true,"I don't
know",Believes division is commutative ,Believes division is sometimes commutative ,nan,nan
